,pIC50
0,0.03550858449497118
1,0.08469779189929953
2,0.1434857075050373
3,0.13908561721379456
4,0.1527572515296607
5,0.1484505634195218
6,0.15761782313794817
7,0.15335930201434053
8,0.14782806896668899
9,0.15700833996207986
10,1.5084556469292905
11,2.526948929625537
12,1.3985267782446593
13,1.2927034300803046
14,1.2699960031986575
15,1.3309431275225116
16,2.065639458784932
17,3.1432421985397596
18,0.6020599913279624
19,2.6989700043360187
20,2.6989700043360187
21,2.3979400086720375
22,0.6020599913279624
23,0.6020599913279624
24,1.7958800173440752
25,2.6989700043360187
26,2.3979400086720375
27,1.7958800173440752
28,3.2218487496163566
29,2.0969100130080562
30,2.7958800173440754
31,1.0399207483358943
32,1.120773348316432
33,1.510625427664837
34,2.0
35,2.0
36,2.0
37,2.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,2.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,2.0
54,2.0
55,2.0
56,2.0
57,2.0
58,2.0
59,2.0
60,2.0
61,2.0
62,2.0
63,2.0
64,2.0
65,2.0
66,2.6020599913279625
67,2.0
68,2.0
69,2.0
70,2.0
71,2.0
72,2.0
73,2.0
74,2.0
75,3.8060410135012126
76,2.0
77,2.0
78,3.505149978319906
79,2.0
80,2.0
81,2.0
82,2.0
83,2.0
84,2.0
85,2.0
86,2.0
87,2.0
88,2.0
89,3.8060410135012126
90,2.9030899869919438
91,2.0
92,2.0
93,2.0
94,2.0
95,4.107348974607729
96,2.0
97,2.0
98,2.0
99,2.6020599913279625
100,2.0
101,3.8060410135012126
102,2.3010299956639813
103,2.0
104,2.0
105,2.0
106,2.9030899869919438
107,2.0
108,2.0
109,2.0
110,2.0
111,3.8060410135012126
112,2.0
113,2.0
114,2.9030899869919438
115,2.3010299956639813
116,2.6020599913279625
117,2.0
118,2.0
119,4.107348974607729
120,2.0
121,2.0
122,2.3010299956639813
123,2.0
124,2.0
125,4.107348974607729
126,2.0
127,2.0
128,2.0
129,4.107348974607729
130,2.0
131,2.0
132,3.505149978319906
133,2.0
134,2.0
135,3.505149978319906
136,2.0
137,2.0
138,2.0
139,2.3010299956639813
140,4.107348974607729
141,3.8060410135012126
142,2.9030899869919438
143,2.0
144,2.0
145,2.0
146,2.0
147,4.107348974607729
148,2.0
149,2.0
150,2.3010299956639813
151,2.0
152,3.8060410135012126
153,2.0
154,2.0
155,2.0
156,2.0
157,0.9185545305502736
158,0.9532249485617932
159,1.5387260745788796
160,1.331606949964552
161,1.0305769543005707
162,0.7817396715722291
163,0.7165536927100219
164,1.4348078399681632
165,1.2724384962336233
166,1.0526494619683593
167,0.9219009691819271
168,1.1204073374534236
169,1.0908166580447536
170,1.2105542672971783
171,1.0897804104170405
172,0.8305706261651618
173,1.183838148273419
174,1.1961295325064285
175,1.1711887363197344
176,1.1886850911951048
177,1.1206572041239107
178,1.2080825995757343
179,0.9393117275912962
180,0.9788179617302356
181,0.7097865446370198
182,0.7383518972693597
183,0.8079660644584035
184,0.8385716673569159
185,0.9643554025531076
186,1.128265954751142
187,0.9343232462580235
188,1.3142202046763753
189,0.9622657225281954
190,0.9322311185765166
191,1.0112531701274972
192,1.0930866413624496
193,1.0305769543005707
194,0.800573177218108
195,1.226541103939788
196,1.009167949181362
197,1.1059931751530359
198,0.8567553157035157
199,0.7940717645196287
200,0.8338082538285332
201,0.7818293958125329
202,0.8956797451423091
203,1.2995862838655972
204,0.9185479820316341
205,2.10609055922693
206,0.9895179489437175
207,0.8122028713578655
208,1.1547795259723022
209,0.9983138398333081
210,0.9577299686953139
211,1.0716519175090067
212,0.9782219008093863
213,1.0165149563997677
214,1.0751441855179453
215,1.0729262320785842
216,1.2694742704403439
217,1.5306990418449453
218,1.282391963052051
219,2.156132525537746
220,1.4037385860322402
221,1.4074673879574549
222,2.665536902731254
223,1.470713612103766
224,1.4627946719899505
225,3.5141310551124305
226,3.5198899189664927
227,2.374209266521672
228,3.172452886903875
229,1.494850021680094
230,1.3627027234398796
231,2.532545459849462
232,1.404831045016729
233,1.3961350266340582
234,1.494850021680094
235,1.47889687016642
236,1.7726480385551961
237,2.6115873706133796
238,2.0353301592555386
239,1.664418660706855
240,2.422852372416166
241,1.4838002914894406
242,1.3379151559256206
243,1.4074673879574549
244,2.818673158145991
245,2.8672953859360444
246,1.412311942053706
247,1.443182283350802
248,1.4261929467691745
249,2.9298627011462774
250,2.817439756340005
251,1.3715244399185005
252,1.355030455601713
253,1.424666272771935
254,2.9094725853396857
255,1.3477573898416852
256,1.9689327706897528
257,1.3001115781505528
258,1.3627056671845759
259,1.4524027192334594
260,1.3950832905293507
261,0.9894984839551859
262,1.4509723299384574
263,1.4599957266332169
